episode_id,activity_start,start_tau_in,peak_time,end_tau_out,duration_min,TTP_min,TTR_min,Dmax_feature,Dmax_OP,D_residual,recovery_rate_per_min,AUC_D,L_OP_path_length,trajectory_efficiency,C_peak,V_peak,A_peak,L_peak,R_end,relapse
1,Duduk,2026-09-12T10:20:00,2026-09-12T10:20:00,2026-09-12T10:28:00,9.0,0.0,8.0,2.7819797089309675,1.729001826699625,0.8830991053313082,0.2373600754499574,11.596156414372981,8.869426452532059,0.24756865722208052,0.5172318117648689,0.9986490361825351,-0.33608626418192183,0.7820899533870797,1.0,0
2,Berbaring,2026-09-12T13:58:00,2026-09-12T13:59:00,2026-09-12T14:20:00,23.0,1.0,21.0,2.724696947300036,1.9659893753371012,0.8555901096301629,0.08900508750808919,28.323035701518336,11.263289119850299,0.09137773584915482,0.9431192802123461,0.9733831908755446,-0.6577394680579649,0.7717151048864341,1.0,0
3,Berbaring,2026-09-12T15:46:00,2026-09-12T15:46:00,2026-09-12T15:58:00,13.0,0.0,12.0,2.898921375646863,1.9187404684586586,0.7789901531042978,0.17666093521188042,29.21429092469974,4.856701710547465,0.4341875855607485,0.9976276141827648,-0.6297412100583283,0.8601981932167326,0.7414777174412583,1.0,0
4,Lainnya,2026-09-12T16:32:00,2026-09-12T16:32:00,2026-09-12T16:35:00,4.0,0.0,3.0,3.5574334384154054,1.724827118147398,0.6327840671604575,0.9748831237516492,5.1649248884699475,3.689038556276846,0.5031228164480501,0.9907186418723437,0.5334477140176392,0.4222660428763852,0.7284436049456062,1.0,0
5,Lainnya,2026-09-12T18:16:00,2026-09-12T18:23:00,2026-09-12T18:27:00,12.0,7.0,4.0,2.4357623061344933,1.8850279533799534,0.6715221891312759,0.44106002925080434,16.8464196206933,5.404183378785504,0.2637331209701367,-0.5605590627207276,0.998187596874346,-0.8393224741448361,0.7336642475050046,1.0,0
6,Berbaring,2026-09-12T18:29:00,2026-09-12T18:29:00,2026-09-12T18:32:00,4.0,0.0,3.0,2.4127077615751915,1.7719710330034961,0.7522802220633271,0.5534758465039548,4.766615739647249,4.208643680301294,0.4609826820123161,0.9052692348444724,0.340181927671249,0.641355236249187,0.6741448345481269,1.0,1
7,Berbaring,2026-09-12T18:43:00,2026-09-12T18:44:00,2026-09-12T18:47:00,5.0,1.0,3.0,3.4265520507554474,1.6439946058183954,0.5975510705352581,0.9430003267400631,6.698765397406337,4.182874104461313,0.35446691207729203,-0.8072526034764219,0.5324523108858368,-0.602915151701291,0.635648766711508,1.0,0
8,Berbaring,2026-09-12T20:40:00,2026-09-12T20:42:00,2026-09-12T20:46:00,7.0,2.0,4.0,2.756656641745819,1.8096294548052665,0.7394952134398984,0.5042903570764802,10.664933635234462,7.9927947202131975,0.13329402565094225,-0.9180361778033973,0.7824100150443247,-0.6910932981809632,0.5849726160348301,1.0,0
9,Berbaring,2026-09-12T22:11:00,2026-09-12T22:18:00,2026-09-12T22:29:00,19.0,7.0,11.0,4.2146465413868395,2.063116352147171,0.7465767897753744,0.315279068328315,31.65524603994363,23.996799578156367,0.09332754671310015,0.9935395337380721,0.8046837518973233,0.30692243887572457,0.7693646255678677,1.0,0
10,Berbaring,2026-09-12T23:56:00,2026-09-12T23:56:00,2026-09-12T23:59:00,4.0,0.0,3.0,4.483862180481065,1.89118631809964,1.2993579312298544,1.0615014164170702,8.209287319428162,6.163909369938241,0.36830884573894795,0.9974892589310879,0.7599811237501337,0.24258053389859777,0.8705123695177615,0.9140729696751327,0
