Baseline ID,User Name,User ID,Activity,Time Period,Segment Count,Maturity Level,Tau In,Tau Out,Tau Normal,Tau Source,Stable Score Count,Computed At
"6a7d30fcbac9bab6a373d9ea","Dokter","675ba1e92b8428e4dd641cd0","Tidur","evening","397","cold_start","1.73","1.11","0.75","provisional","2","2026-08-23T09:45:22.851Z"
"6a7d3356bac9bab6a373d9f4","Dokter","675ba1e92b8428e4dd641cd0","Lainnya","afternoon","206","cold_start","2.9776","2.5","2.5","provisional","17","2026-08-23T09:45:23.838Z"
"6a7d3356bac9bab6a373d9f6","Dokter","675ba1e92b8428e4dd641cd0","Bekerja","afternoon","192","cold_start","1.3376","1.088","0.932","provisional","17","2026-08-23T09:45:25.240Z"
"6a7d3357bac9bab6a373d9f7","Dokter","675ba1e92b8428e4dd641cd0","Berkendara","afternoon","140","cold_start","1.1508","1.0008","0.762","provisional","17","2026-08-23T09:45:25.866Z"
"6a7d3357bac9bab6a373d9f8","Dokter","675ba1e92b8428e4dd641cd0","Berkendara","evening","140","cold_start","1.1508","1.0008","0.762","provisional","17","2026-08-23T09:45:26.622Z"
"6a7d3357bac9bab6a373d9fa","Dokter","675ba1e92b8428e4dd641cd0","Memasak","evening","14","cold_start","2.5068","1.654","0.945","provisional","14","2026-08-23T09:45:27.418Z"
"6a7d3357bac9bab6a373d9fb","Dokter","675ba1e92b8428e4dd641cd0","Makan","evening","97","cold_start","2.672","2.33","2.318","provisional","25","2026-08-23T09:45:28.250Z"
"6a7d3357bac9bab6a373d9fc","Dokter","675ba1e92b8428e4dd641cd0","Makan","night","97","cold_start","2.672","2.33","2.318","provisional","25","2026-08-23T09:45:29.116Z"
"6a7d3357bac9bab6a373d9fd","Dokter","675ba1e92b8428e4dd641cd0","Olahraga Berat","night","29","cold_start","1.142","0.79","0.79","provisional","21","2026-08-23T09:45:29.998Z"
"6a7d3358bac9bab6a373d9fe","Dokter","675ba1e92b8428e4dd641cd0","Lari Cepat","night","21","cold_start","1","0.84","0.74","provisional","21","2026-08-23T09:45:30.899Z"
"6a7d3358bac9bab6a373d9ff","Dokter","675ba1e92b8428e4dd641cd0","Lari Cepat","morning","21","cold_start","1","0.84","0.74","provisional","21","2026-08-23T09:45:31.794Z"
"6a7d3358bac9bab6a373da00","Dokter","675ba1e92b8428e4dd641cd0","Berlari","morning","87","cold_start","1","0.5255","0.475","provisional","20","2026-08-23T09:45:32.708Z"
"6a7d3358bac9bab6a373da01","Dokter","675ba1e92b8428e4dd641cd0","Yoga","morning","25","cold_start","2.6362","2.405","2.296","provisional","23","2026-08-23T09:45:33.616Z"
"6a7d3358bac9bab6a373da02","Dokter","675ba1e92b8428e4dd641cd0","Yoga","afternoon","25","cold_start","2.6362","2.405","2.296","provisional","23","2026-08-23T09:45:34.518Z"
"6a7d3358bac9bab6a373da03","Dokter","675ba1e92b8428e4dd641cd0","Senam","afternoon","18","cold_start","1","0.8075","0.745","provisional","16","2026-08-23T09:45:35.439Z"
"6a7d3358bac9bab6a373da04","Dokter","675ba1e92b8428e4dd641cd0","Berenang","afternoon","13","cold_start","1","0.723","0.569","provisional","12","2026-08-23T09:45:36.398Z"
"6a7d3358bac9bab6a373da05","Dokter","675ba1e92b8428e4dd641cd0","Berenang","evening","13","cold_start","1","0.723","0.569","provisional","12","2026-08-23T09:45:37.410Z"
"6a7d3358bac9bab6a373da06","Dokter","675ba1e92b8428e4dd641cd0","Bersepeda","evening","22","cold_start","1","0.763","0.67","provisional","20","2026-08-23T09:45:38.313Z"
"6a7d3359bac9bab6a373da07","Peserta 0","67652725d40f2b664e88deb0","Tidur","night","342","cold_start","1.344","1.12","0.93","learned","321","2026-08-23T09:45:39.424Z"
"6a7d3359bac9bab6a373da08","Peserta 0","67652725d40f2b664e88deb0","Tidur","morning","342","cold_start","1.344","1.12","0.93","learned","321","2026-08-23T09:45:39.964Z"
"6a7d3359bac9bab6a373da09","Peserta 0","67652725d40f2b664e88deb0","Bekerja","morning","172","cold_start","1.3616","1.178","1.01","learned","129","2026-08-23T09:45:40.423Z"
"6a7d3359bac9bab6a373da0a","Peserta 0","67652725d40f2b664e88deb0","Duduk","morning","217","cold_start","1.4638","1.3138","1.058","learned","182","2026-08-23T09:45:41.830Z"
"6a7d3359bac9bab6a373da0b","Peserta 0","67652725d40f2b664e88deb0","Berlari","morning","67","cold_start","1","0.777","0.606","learned","62","2026-08-23T09:45:42.867Z"
"6a7d3359bac9bab6a373da0e","Peserta 0","67652725d40f2b664e88deb0","Duduk","afternoon","217","cold_start","1.4638","1.3138","1.058","learned","182","2026-08-23T09:45:44.471Z"
"6a7d3359bac9bab6a373da0f","Peserta 0","67652725d40f2b664e88deb0","Berkendara","afternoon","68","cold_start","1.4676","1.31","1.092","learned","57","2026-08-23T09:45:45.567Z"
"6a7d3359bac9bab6a373da10","Peserta 0","67652725d40f2b664e88deb0","Bekerja","afternoon","172","cold_start","1.3616","1.178","1.01","learned","129","2026-08-23T09:45:47.222Z"
"6a7d335abac9bab6a373da11","Peserta 0","67652725d40f2b664e88deb0","Berjalan","evening","60","cold_start","1.192","1.04","0.96","learned","41","2026-08-23T09:45:48.376Z"
"6a7d335abac9bab6a373da12","Peserta 0","67652725d40f2b664e88deb0","Makan","evening","67","cold_start","1.4554","1.3054","0.888","learned","42","2026-08-23T09:45:49.094Z"
"6a7d335abac9bab6a373da13","Peserta 0","67652725d40f2b664e88deb0","Berkendara","evening","68","cold_start","1.4676","1.31","1.092","learned","57","2026-08-23T09:45:49.921Z"
"6a7d335abac9bab6a373da14","Peserta 0","67652725d40f2b664e88deb0","Bekerja","evening","172","cold_start","1.3616","1.178","1.01","learned","129","2026-08-23T09:45:51.343Z"
"6a7d335abac9bab6a373da15","Peserta 0","67652725d40f2b664e88deb0","Berlari","evening","67","cold_start","1","0.777","0.606","learned","62","2026-08-23T09:45:52.359Z"
"6a7d335abac9bab6a373da17","Peserta 0","67652725d40f2b664e88deb0","Tidur","evening","342","cold_start","1.344","1.12","0.93","learned","321","2026-08-23T09:45:53.763Z"
"6a7d335abac9bab6a373da18","Peserta 0","67652725d40f2b664e88deb0","Berkendara","morning","68","cold_start","1.4676","1.31","1.092","learned","57","2026-08-23T09:45:54.352Z"
"6a7d335bbac9bab6a373da1a","Peserta 0","67652725d40f2b664e88deb0","Berjalan","afternoon","60","cold_start","1.192","1.04","0.96","learned","41","2026-08-23T09:45:55.138Z"
"6a7d335bbac9bab6a373da1b","Peserta 0","67652725d40f2b664e88deb0","Makan","morning","67","cold_start","1.4554","1.3054","0.888","learned","42","2026-08-23T09:45:55.964Z"
"6a7d335cbac9bab6a373da1d","Peserta 0","67652725d40f2b664e88deb0","Makan","afternoon","67","cold_start","1.4554","1.3054","0.888","learned","42","2026-08-23T09:45:56.834Z"
"6a7d335cbac9bab6a373da1e","Peserta 0","67652725d40f2b664e88deb0","Berlari","afternoon","67","cold_start","1","0.777","0.606","learned","62","2026-08-23T09:45:57.741Z"
"6a7d335cbac9bab6a373da1f","Peserta 0","67652725d40f2b664e88deb0","Duduk","evening","217","cold_start","1.4638","1.3138","1.058","learned","182","2026-08-23T09:45:59.214Z"
"6a7d3484bac9bab6a373da33","Dokter","675ba1e92b8428e4dd641cd0","Naik Tangga","evening","21","cold_start","1.5","1","0.75","provisional","4","2026-08-23T09:46:00.199Z"
"6a7d3484bac9bab6a373da35","Dokter","675ba1e92b8428e4dd641cd0","Naik Tangga","night","21","cold_start","1.51","1","0.75","provisional","4","2026-08-23T09:46:01.161Z"
"6a7d3484bac9bab6a373da36","Dokter","675ba1e92b8428e4dd641cd0","Berjalan Cepat","night","16","cold_start","1","0.5","0.386","provisional","14","2026-08-23T09:46:02.056Z"
"6a7d3485bac9bab6a373da37","Dokter","675ba1e92b8428e4dd641cd0","Berjalan","night","85","cold_start","1.419","1.215","1.093","provisional","18","2026-08-23T09:46:02.963Z"
"6a7d3485bac9bab6a373da39","Dokter","675ba1e92b8428e4dd641cd0","Berjalan","morning","85","cold_start","1.419","1.215","1.093","provisional","18","2026-08-23T09:46:03.908Z"
"6a7d3485bac9bab6a373da3a","Dokter","675ba1e92b8428e4dd641cd0","Berdiri","morning","29","cold_start","1.0045","0.8545","0.8545","provisional","12","2026-08-23T09:46:04.935Z"
"6a7d3485bac9bab6a373da3b","Dokter","675ba1e92b8428e4dd641cd0","Duduk","morning","385","cold_start","1.2013","1.0513","0.893","provisional","18","2026-08-23T09:46:05.709Z"
"6a7d3485bac9bab6a373da3c","Dokter","675ba1e92b8428e4dd641cd0","Berbaring","morning","46","cold_start","1.1325","0.9825","0.89","provisional","16","2026-08-23T09:46:06.549Z"
"6a7d3485bac9bab6a373da3d","Dokter","675ba1e92b8428e4dd641cd0","Berbaring","afternoon","46","cold_start","1.1325","0.9825","0.89","provisional","16","2026-08-23T09:46:07.123Z"
"6a7d3485bac9bab6a373da3e","Dokter","675ba1e92b8428e4dd641cd0","Tidur","afternoon","397","cold_start","1.5","1","0.75","provisional","2","2026-08-23T09:46:07.149Z"
"6a7d35b2bac9bab6a373da44","Peserta 0","67652725d40f2b664e88deb0","Berjalan","morning","60","cold_start","1.192","1.04","0.96","learned","41","2026-08-23T09:46:07.180Z"
"6a7d36dfba1e70fa8e254547","Dokter","675ba1e92b8428e4dd641cd0","Lainnya","evening","206","cold_start","2.9776","2.5","2.5","provisional","17","2026-08-23T09:46:07.204Z"
"6a842b0ca637cf587bd961c9","Peserta 0","67652725d40f2b664e88deb0","Berbaring","evening","1","cold_start","1.7","1.1","0.75","provisional","0","2026-08-23T09:46:07.231Z"
"6a8454bca637cf587bd9629d","Peserta 1","6a7e4fb7a6e8c17678a91e8e","Duduk","evening","385","cold_start","1.63","1.06","0.75","provisional","1","2026-08-23T09:46:07.257Z"
"6a85375f1dabe9109f4926a5","Peserta 13","6a8534751dabe9109f492571","Duduk","evening","385","cold_start","1.7","1.1","0.75","provisional","0","2026-08-23T09:46:07.284Z"
"6a85a1b188f0f52216b19842","Peserta 14","6a859ff288f0f52216b19740","Duduk","evening","385","cold_start","1.7","1.1","0.75","provisional","0","2026-08-23T09:46:07.325Z"
"6a85b36a88f0f52216b19a1c","Peserta 15","6a85b24988f0f52216b19990","Duduk","evening","385","cold_start","1.7","1.1","0.75","provisional","0","2026-08-23T09:46:07.438Z"
"6a86363888f0f52216b19c2a","peserta 12","6a8376c1483cdfd43096aaeb","Duduk","evening","385","cold_start","2.28","1.39","0.75","provisional","0","2026-08-23T09:46:07.912Z"
"6a8661bb8269202384ca977c","Admin HTM","6a604ffbe99dd31f5020a0ca","sitting","Morning (08:00 - 12:00)","20","mature","1.86","1.18","0.75","N/A","0",""
"6a8661bb8269202384ca977f","Admin HTM","6a604ffbe99dd31f5020a0ca","standing","Morning (08:00 - 12:00)","20","mature","1.86","1.18","0.75","N/A","0",""
"6a8661bb8269202384ca9782","Admin HTM","6a604ffbe99dd31f5020a0ca","walking","Morning (08:00 - 12:00)","10","mature","1.86","1.18","0.75","N/A","0",""
"6a8661bb8269202384ca9785","Admin HTM","6a604ffbe99dd31f5020a0ca","resting","Morning (08:00 - 12:00)","20","mature","1.86","1.18","0.75","N/A","0",""
"6a8661bb8269202384ca9788","Admin HTM","6a604ffbe99dd31f5020a0ca","driving","Morning (08:00 - 12:00)","20","mature","1.86","1.18","0.75","N/A","0",""
"6a8661bc8269202384ca979f","Peserta 1","6a7e4fb7a6e8c17678a91e8e","sitting","Morning (08:00 - 12:00)","19","mature","1.86","1.18","0.75","N/A","0",""
"6a8661bc8269202384ca97a2","Peserta 1","6a7e4fb7a6e8c17678a91e8e","standing","Morning (08:00 - 12:00)","19","mature","1.86","1.18","0.75","N/A","0",""
"6a8661bc8269202384ca97a5","Peserta 1","6a7e4fb7a6e8c17678a91e8e","walking","Morning (08:00 - 12:00)","9","mature","1.86","1.18","0.75","N/A","0",""
"6a8661bc8269202384ca97a8","Peserta 1","6a7e4fb7a6e8c17678a91e8e","resting","Morning (08:00 - 12:00)","19","mature","1.86","1.18","0.75","N/A","0",""
"6a8661bc8269202384ca97ab","Peserta 1","6a7e4fb7a6e8c17678a91e8e","driving","Morning (08:00 - 12:00)","19","mature","1.86","1.18","0.75","N/A","0",""
"6a8661bc8269202384ca97b1","Peserta 2","6a7e4fc8a6e8c17678a91e8f","sitting","Morning (08:00 - 12:00)","20","mature","1.86","1.18","0.75","N/A","0",""
"6a8661bc8269202384ca97b4","Peserta 2","6a7e4fc8a6e8c17678a91e8f","standing","Morning (08:00 - 12:00)","20","mature","1.86","1.18","0.75","N/A","0",""
"6a8661bc8269202384ca97b7","Peserta 2","6a7e4fc8a6e8c17678a91e8f","walking","Morning (08:00 - 12:00)","10","mature","1.86","1.18","0.75","N/A","0",""
"6a8661bc8269202384ca97ba","Peserta 2","6a7e4fc8a6e8c17678a91e8f","resting","Morning (08:00 - 12:00)","20","mature","1.86","1.18","0.75","N/A","0",""
"6a8661bc8269202384ca97bd","Peserta 2","6a7e4fc8a6e8c17678a91e8f","driving","Morning (08:00 - 12:00)","20","mature","1.86","1.18","0.75","N/A","0",""
"6a8661be8269202384ca97c3","Peserta 3","6a7e4fdba6e8c17678a91e90","sitting","Morning (08:00 - 12:00)","20","mature","1.86","1.18","0.75","N/A","0",""
"6a8661be8269202384ca97c6","Peserta 3","6a7e4fdba6e8c17678a91e90","standing","Morning (08:00 - 12:00)","20","mature","1.86","1.18","0.75","N/A","0",""
"6a8661be8269202384ca97c9","Peserta 3","6a7e4fdba6e8c17678a91e90","walking","Morning (08:00 - 12:00)","10","mature","1.86","1.18","0.75","N/A","0",""
"6a8661be8269202384ca97cc","Peserta 3","6a7e4fdba6e8c17678a91e90","resting","Morning (08:00 - 12:00)","20","mature","1.86","1.18","0.75","N/A","0",""
"6a8661be8269202384ca97cf","Peserta 3","6a7e4fdba6e8c17678a91e90","driving","Morning (08:00 - 12:00)","20","mature","1.86","1.18","0.75","N/A","0",""
"6a8661be8269202384ca97d6","Peserta 4","6a7e4feca6e8c17678a91e92","sitting","Morning (08:00 - 12:00)","20","mature","1.86","1.18","0.75","N/A","0",""
"6a8661bf8269202384ca97d9","Peserta 4","6a7e4feca6e8c17678a91e92","standing","Morning (08:00 - 12:00)","20","mature","1.86","1.18","0.75","N/A","0",""
"6a8661bf8269202384ca97dc","Peserta 4","6a7e4feca6e8c17678a91e92","walking","Morning (08:00 - 12:00)","10","mature","1.86","1.18","0.75","N/A","0",""
"6a8661bf8269202384ca97df","Peserta 4","6a7e4feca6e8c17678a91e92","resting","Morning (08:00 - 12:00)","20","mature","1.86","1.18","0.75","N/A","0",""
"6a8661bf8269202384ca97e2","Peserta 4","6a7e4feca6e8c17678a91e92","driving","Morning (08:00 - 12:00)","20","mature","1.86","1.18","0.75","N/A","0",""
"6a8661bf8269202384ca97e8","Peserta 5","6a7e4ffea6e8c17678a91e93","sitting","Morning (08:00 - 12:00)","20","mature","1.86","1.18","0.75","N/A","0",""
"6a8661bf8269202384ca97eb","Peserta 5","6a7e4ffea6e8c17678a91e93","standing","Morning (08:00 - 12:00)","20","mature","1.86","1.18","0.75","N/A","0",""
"6a8661bf8269202384ca97ee","Peserta 5","6a7e4ffea6e8c17678a91e93","walking","Morning (08:00 - 12:00)","10","mature","1.86","1.18","0.75","N/A","0",""
"6a8661bf8269202384ca97f1","Peserta 5","6a7e4ffea6e8c17678a91e93","resting","Morning (08:00 - 12:00)","20","mature","1.86","1.18","0.75","N/A","0",""
"6a8661bf8269202384ca97f4","Peserta 5","6a7e4ffea6e8c17678a91e93","driving","Morning (08:00 - 12:00)","20","mature","1.86","1.18","0.75","N/A","0",""
"6a8661c08269202384ca97fa","Peserta 6","6a804ceffcc5a44336b428af","sitting","Morning (08:00 - 12:00)","20","mature","1.86","1.18","0.75","N/A","0",""
"6a8661c08269202384ca97fd","Peserta 6","6a804ceffcc5a44336b428af","standing","Morning (08:00 - 12:00)","20","mature","1.86","1.18","0.75","N/A","0",""
