Waktu,Aktivitas,Valid,Q_Signal,RR_Status,Anomaly_Score,HR_Mean,Z_HR,RMSSD,Z_RMSSD,SDNN,Z_SDNN
2024-05-27T01:35:00.000Z,Duduk,No,,UNKNOWN,,81,,0,,0,
2024-05-27T01:40:00.000Z,Duduk,Yes,,INSUFFICIENT_BASELINE,0.07,86.43,0,28.36,0,49.38,0
2024-05-27T01:45:00.000Z,Duduk,Yes,,INSUFFICIENT_BASELINE,0.01,86.17,0,37.54,0,47.93,0
2024-05-27T01:55:00.000Z,Duduk,Yes,,NORMAL,1.52,85.51,,28.24,-0.73,44.52,-4.03
2024-05-27T02:00:00.000Z,Duduk,Yes,,NORMAL,2.03,84.67,,24.35,-1.32,34.31,-5.2
2024-05-27T02:10:00.000Z,Lainnya,No,,UNKNOWN,,84,,0,,0,
2024-05-27T02:20:00.000Z,Lainnya,No,,UNKNOWN,,91.5,,26,,18.38,
2024-05-27T02:45:00.000Z,Lainnya,Yes,,INSUFFICIENT_BASELINE,0.07,87.64,0,13.34,0,15.09,0
2024-05-27T02:50:00.000Z,Lainnya,Yes,,INSUFFICIENT_BASELINE,0.08,94.33,0,33.17,0,58.83,0
2024-05-27T05:15:00.000Z,Lainnya,No,,UNKNOWN,,93.71,,20.49,,31.1,
2024-05-27T05:30:00.000Z,Lainnya,Yes,,INSUFFICIENT_BASELINE,0.05,97.94,0,38.75,0,28.66,0
2024-05-27T05:35:00.000Z,Lainnya,Yes,,INSUFFICIENT_BASELINE,0,95.94,0,29.66,0,31.67,0
2024-05-27T05:40:00.000Z,Lainnya,Yes,,NORMAL,0.74,98.79,,21.49,-1.98,31.13,0.45
2024-05-27T06:00:00.000Z,Lainnya,No,,UNKNOWN,,106.71,,17.27,,22.28,
2024-05-27T06:45:00.000Z,Lainnya,No,,UNKNOWN,,111.88,,31.26,,17.23,
2024-05-27T06:55:00.000Z,Lainnya,Yes,,BASELINE_PAUSED,2.29,108.85,,23.68,-0.73,22.91,-4.72
2024-05-27T07:00:00.000Z,Lainnya,No,,UNKNOWN,,111.8,,13.55,,10.34,
2024-05-27T07:10:00.000Z,Lainnya,Yes,,NORMAL,1.01,107.88,,34.83,0.56,26.6,-2.42
2024-05-27T07:20:00.000Z,Lainnya,Yes,,NORMAL,0.78,103.16,,23.42,-1.04,33.36,1.64
2024-05-27T07:30:00.000Z,Lainnya,No,,UNKNOWN,,105.17,,11.25,,7.76,
2024-05-27T08:05:00.000Z,Lainnya,No,,UNKNOWN,,103,,30.04,,42.99,
2024-05-27T08:15:00.000Z,Lainnya,No,,UNKNOWN,,91.5,,3,,2.12,
2024-05-27T08:50:00.000Z,Lainnya,Yes,,BASELINE_PAUSED,3.11,96.84,,18.6,-1.5,23.8,-2.44
2024-05-27T08:55:00.000Z,Lainnya,Yes,,NORMAL,1.64,98.42,,19.94,-1.32,22.96,-2.75
2024-05-27T09:10:00.000Z,Lainnya,No,,UNKNOWN,,101,,25.63,,18.24,
2024-05-27T09:20:00.000Z,Lainnya,Yes,,NORMAL,1.13,92.9,,18.88,-1.19,20.69,-2.19
2024-05-27T09:25:00.000Z,Lainnya,No,,UNKNOWN,,90.5,,11,,7.78,
2024-05-27T09:30:00.000Z,Lainnya,Yes,,NORMAL,0.55,98.69,,26.96,0.03,40.92,2.77
2024-05-27T09:35:00.000Z,Lainnya,Yes,,NORMAL,0.5,100.71,,29.32,0.36,36.92,1.17
2024-05-27T09:40:00.000Z,Lainnya,Yes,,NORMAL,0.03,95.49,,37.24,1.5,34.52,0.65
2024-05-27T10:20:00.000Z,Lainnya,Yes,,NORMAL,0.45,83.8,,27.41,-0.09,31.69,0.15
2024-05-27T10:25:00.000Z,Lainnya,Yes,,NORMAL,0.4,83.05,,27.56,-0.06,28.18,-0.45
2024-05-27T10:35:00.000Z,Lainnya,Yes,,NORMAL,0.35,82.82,,36.59,1.33,33.39,0.49
2024-05-27T10:45:00.000Z,Lainnya,Yes,,NORMAL,1.46,84.33,,24.11,-0.68,16.25,-2.66
2024-05-27T11:15:00.000Z,Lainnya,No,,UNKNOWN,,81.33,,18.18,,16.44,
2024-05-27T11:30:00.000Z,Lainnya,No,,UNKNOWN,,83,,0,,0,
2024-05-27T11:50:00.000Z,Lainnya,No,,UNKNOWN,,78,,0,,0,
2024-05-27T12:10:00.000Z,Lainnya,No,,UNKNOWN,,87.67,,17.09,,11.02,
2024-05-27T13:00:00.000Z,Tidur,No,,UNKNOWN,,83.5,,7.23,,7.37,
2024-05-27T13:10:00.000Z,Tidur,No,,UNKNOWN,,87.67,,27.58,,26.21,
2024-05-27T13:30:00.000Z,Tidur,Yes,,INSUFFICIENT_BASELINE,0.1,83.55,0,22.47,0,36.26,0
2024-05-27T13:35:00.000Z,Tidur,No,,UNKNOWN,,84,,21,,14.85,
2024-05-27T13:45:00.000Z,Tidur,Yes,,INSUFFICIENT_BASELINE,0.02,84.54,0,23.5,0,31.31,0
2024-05-27T13:50:00.000Z,Tidur,Yes,,NORMAL,0.68,86.78,,22.24,-1.02,31.45,-0.67
2024-05-27T13:55:00.000Z,Tidur,Yes,,NORMAL,0.83,86.02,,21.65,-1.62,32.75,-0.09
2024-05-27T14:05:00.000Z,Tidur,Yes,,NORMAL,1.21,85.36,,21.22,-1.61,29.13,-1.65
2024-05-27T14:30:00.000Z,Tidur,Yes,,NORMAL,0.69,75.57,,26.57,5.01,35.58,1.3
2024-05-27T14:35:00.000Z,Tidur,Yes,,NORMAL,0.18,77.49,,26.73,1.95,35.2,0.9
2024-05-27T14:40:00.000Z,Tidur,No,,UNKNOWN,,77.5,,64,,45.25,
2024-05-27T14:45:00.000Z,Tidur,Yes,,NORMAL,0.45,78.27,,33.21,4.27,48.72,5.88
2024-05-27T14:50:00.000Z,Tidur,Yes,,NORMAL,0.2,79.02,,27.23,0.63,31.3,-0.62
2024-05-27T15:05:00.000Z,Tidur,No,,UNKNOWN,,77,,34.66,,28.01,
2024-05-27T15:15:00.000Z,Tidur,No,,UNKNOWN,,74.67,,47.43,,30,
2024-05-27T15:30:00.000Z,Tidur,Yes,,NORMAL,0.6,84.75,,28.42,0.89,50.67,2.77
2024-05-27T15:40:00.000Z,Tidur,No,,UNKNOWN,,79.33,,35,,35,
2024-05-27T15:45:00.000Z,Tidur,Yes,,NORMAL,0.79,76.36,,29.05,0.98,82.19,6.17
2024-05-27T15:55:00.000Z,Tidur,Yes,,NORMAL,0.64,78.4,,20.57,-1.35,45.53,1.25
2024-05-27T16:00:00.000Z,Tidur,Yes,,NORMAL,0.18,74.05,,29.27,1.04,47.24,1.34
2024-05-27T16:10:00.000Z,Tidur,Yes,,NORMAL,0.43,75.8,,25.94,0.1,54.79,2.16
2024-05-27T16:15:00.000Z,Tidur,Yes,,NORMAL,0.44,75.47,,25.66,0.02,59.33,2.28
2024-05-27T16:20:00.000Z,Tidur,No,,UNKNOWN,,73,,15.38,,10.23,
2024-05-27T16:35:00.000Z,Tidur,No,,UNKNOWN,,69,,11,,7.78,
2024-05-27T16:50:00.000Z,Tidur,No,,UNKNOWN,,67,,78.09,,54.5,
2024-05-27T17:00:00.000Z,Lainnya,No,,UNKNOWN,,90.33,,31.68,,20.87,
2024-05-27T17:10:00.000Z,Tidur,No,,UNKNOWN,,65.5,,0,,0,
2024-05-27T17:20:00.000Z,Tidur,No,,UNKNOWN,,62.9,,33.17,,32.27,
2024-05-27T17:40:00.000Z,Tidur,No,,UNKNOWN,,72.5,,112,,79.2,
2024-05-27T18:00:00.000Z,Tidur,No,,UNKNOWN,,59.33,,84.17,,67.86,
2024-05-27T18:40:00.000Z,Tidur,No,,UNKNOWN,,59.9,,58.89,,52.42,
2024-05-27T19:00:00.000Z,Tidur,No,,UNKNOWN,,63.5,,137.36,,109.23,
2024-05-27T19:15:00.000Z,Tidur,Yes,,INSUFFICIENT_BASELINE,0,56.94,0,101.8,0,87.31,0
2024-05-27T19:20:00.000Z,Tidur,No,,UNKNOWN,,60.33,,39.29,,24.11,
2024-05-27T19:35:00.000Z,Tidur,No,,UNKNOWN,,61.67,,70.21,,61.72,
2024-05-27T19:55:00.000Z,Tidur,No,,UNKNOWN,,68.5,,45.56,,25.81,
2024-05-27T21:05:00.000Z,Tidur,No,,UNKNOWN,,96.38,,21.39,,32.46,
2024-05-27T21:10:00.000Z,Tidur,Yes,,INSUFFICIENT_BASELINE,0.06,71.25,0,30.75,0,61.08,0
2024-05-27T21:30:00.000Z,Lainnya,No,,UNKNOWN,,70.25,,123,,86.97,
2024-05-27T23:05:00.000Z,Duduk,Yes,,BASELINE_PAUSED,0.27,93.52,,31.57,0.35,52.58,1.26
2024-05-27T23:10:00.000Z,Duduk,Yes,,NORMAL,0.16,93.65,,36.16,1.17,47.57,0.52
2024-05-27T23:20:00.000Z,Duduk,No,,UNKNOWN,,95.43,,16.71,,19.58,
2024-05-27T23:35:00.000Z,Lainnya,Yes,,BASELINE_PAUSED,0.13,90.01,,26.7,0.25,32.71,-0.14
2024-05-27T23:50:00.000Z,Lainnya,Yes,,NORMAL,0.06,89.18,,24.09,0.06,38.41,0.05
2024-05-28T00:50:00.000Z,Duduk,Yes,,BASELINE_PAUSED,2.98,99.72,,24.2,-1.19,19.05,-4.22
2024-05-28T00:55:00.000Z,Duduk,Yes,,NORMAL,1.91,106.58,,24.47,-1.14,19.48,-4.15
2024-05-28T01:30:00.000Z,Lainnya,Yes,,BASELINE_PAUSED,0.5,99.33,,20.19,-0.34,24.02,-0.61
2024-05-28T01:45:00.000Z,Lainnya,Yes,,NORMAL,0.14,93.24,,26.38,0.29,33.32,-0.19
